NR_ANO;NR_MES;CD_EST_TME;DT_VDA;CD_EST_FAB;CD_EST_DIS;CD_EST_PRD;CD_VENDEDOR;CD_IDE_PDV;NUM_CD_IDE_PDV;STR_CD_IDE_PDV;QT_VDA;VL_VDA;TP_TRA_MOV;IC_MOVINC
2021;11;44499;20211101;263;546;138247;22563;05272929000193;5272929000193;05272929000193;6.00000000;80.69999695;E;1
2021;11;44499;20211101;263;546;138247;72551;10906122000286;10906122000286;10906122000286;1.00000000;12.90999985;V;1
2021;11;44499;20211101;263;546;138277;17304;03135798000177;3135798000177;03135798000177;2.00000000;22.76000023;V;1
2021;11;44499;20211101;263;546;138278;750181;10642972000214;10642972000214;10642972000214;2.00000000;7.11999989;V;1
2021;11;44499;20211101;263;546;138289;17304;05472272000108;5472272000108;05472272000108;2.00000000;23.76000023;E;1
2021;11;44499;20211101;263;546;138290;58704;31858991000171;31858991000171;31858991000171;3.00000000;20.21999931;E;1
2021;11;44499;20211101;263;546;138292;4853;12442304000198;12442304000198;12442304000198;2.00000000;12.77999973;V;1
2021;11;44499;20211101;263;546;138295;17304;05472272000108;5472272000108;05472272000108;6.00000000;40.38000107;E;1
2021;11;44499;20211101;263;546;138295;21577;50856756000105;50856756000105;50856756000105;6.00000000;40.38000107;E;1
